business_id,room_name,capacity,business_name,room_id
d3d2f3d6-d00d-48e8-8035-b52cd16cc2a3,Rat Trap!,6,Cracked It,RT!1
82c787a6-5142-4a55-a9b2-8a5c6f77dfd1,Project Skylabd,6,Cracked It,PS4
7f116ccf-3b01-4723-9bfa-6d2c319df8d6,Murder University,6,Cracked It,MU3
8d61f219-e83e-45d0-a928-09dbe9f62c3e,"New Blood, New World",6,Cracked It,NBNW2
e25fc1f4-8d09-4a69-97f5-d81a2c7e640f,Kidnapped!,8,Green Light Escape,K!1
9db0b8bf-28c1-4597-bb46-82bb5b66faef,Cabin in the Woods,10,Green Light Escape,CITW2
a8ae5363-fa64-4693-9787-4b6bc880274b,The Attic,8,Green Light Escape,TA3
c162f533-b067-463a-9ab3-ad3689d4c69a,Jurassic Labs,10,Green Light Escape,JL4
c31e86dd-92b2-4440-a3c4-78b0d8dc6183,Alien Escape,10,Green Light Escape,AE5
731a68a6-9c7c-415e-82cd-ea932b8d4d25,Brewery Heist,10,Green Light Escape,BH6
6291a228-7e9a-4362-950c-3700aa26db90,LEGEND OF THE TOMB,8,iEscape Rooms,LOT4
6291a228-7e9a-4362-950c-3700aa26db87,"CLUEVIE ",6,iEscape Rooms,CLV1
6291a228-7e9a-4362-950c-3700aa26db89,GAME SHOW Live!,12,iEscape Rooms,GMS3
6291a228-7e9a-4362-950c-3700aa26db88,DONOR,9,iEscape Rooms,DNR2
67c7918d-1575-47de-b453-d901b48496ab,White Rabbit Society,8,The Exit Games,WRS3
2b5ca1f4-0999-4031-921e-09d96f51837d,Front Street Casino Heist,7,The Exit Games,FSCH1
e818bacb-cef3-4396-8aef-c6a664bfb52f,Outage: No Vacancy (Princess Location),6,The Exit Games,ONV6
c026e51c-58f5-47d7-b86c-6526522d4ac5,Dog Gone Alley,5,The Exit Games,DGA2
78bf7901-86ce-4595-8b0c-2048922d7e6e,Hangover at Riddler State (Princess Location),6,The Exit Games,HRS5
5fa53036-9940-42ec-9521-22b4a66d610d,Hidden Needle Tattoo Parlor (Princess Location),7,The Exit Games,HNTP4